,spring_fri_before,spring_mon_after,fall_fri_before,fall_mon_after
0,1970-04-24,1970-04-27,1970-10-23,1970-10-26
1,1971-04-23,1971-04-26,1971-10-29,1971-11-01
2,1972-04-28,1972-05-01,1972-10-27,1972-10-30
3,1973-04-27,1973-04-30,1973-10-26,1973-10-29
4,1974-01-04,1974-01-07,1974-10-25,1974-10-28
5,1975-02-21,1975-02-24,1975-10-24,1975-10-27
6,1976-04-23,1976-04-26,1976-10-29,1976-11-01
7,1977-04-22,1977-04-25,1977-10-28,1977-10-31
8,1978-04-28,1978-05-01,1978-10-27,1978-10-30
9,1979-04-27,1979-04-30,1979-10-26,1979-10-29
10,1980-04-25,1980-04-28,1980-10-24,1980-10-27
11,1981-04-24,1981-04-27,1981-10-23,1981-10-26
12,1982-04-23,1982-04-26,1982-10-29,1982-11-01
13,1983-04-22,1983-04-25,1983-10-28,1983-10-31
14,1984-04-27,1984-04-30,1984-10-26,1984-10-29
15,1985-04-26,1985-04-29,1985-10-25,1985-10-28
16,1986-04-25,1986-04-28,1986-10-24,1986-10-27
17,1987-04-03,1987-04-06,1987-10-23,1987-10-26
18,1988-04-01,1988-04-04,1988-10-28,1988-10-31
19,1989-03-31,1989-04-03,1989-10-27,1989-10-30
20,1990-03-30,1990-04-02,1990-10-26,1990-10-29
21,1991-04-05,1991-04-08,1991-10-25,1991-10-28
22,1992-04-03,1992-04-06,1992-10-23,1992-10-26
23,1993-04-02,1993-04-05,1993-10-29,1993-11-01
24,1994-04-01,1994-04-04,1994-10-28,1994-10-31
25,1995-03-31,1995-04-03,1995-10-27,1995-10-30
26,1996-04-05,1996-04-08,1996-10-25,1996-10-28
27,1997-04-04,1997-04-07,1997-10-24,1997-10-27
28,1998-04-03,1998-04-06,1998-10-23,1998-10-26
29,1999-04-02,1999-04-05,1999-10-29,1999-11-01
30,2000-03-31,2000-04-03,2000-10-27,2000-10-30
31,2001-03-30,2001-04-02,2001-10-26,2001-10-29
32,2002-04-05,2002-04-08,2002-10-25,2002-10-28
33,2003-04-04,2003-04-07,2003-10-24,2003-10-27
34,2004-04-02,2004-04-05,2004-10-29,2004-11-01
35,2005-04-01,2005-04-04,2005-10-28,2005-10-31
36,2006-03-31,2006-04-03,2006-10-27,2006-10-30
37,2007-03-09,2007-03-12,2007-11-02,2007-11-05
38,2008-03-07,2008-03-10,2008-10-31,2008-11-03
39,2009-03-06,2009-03-09,2009-10-30,2009-11-02
40,2010-03-12,2010-03-15,2010-11-05,2010-11-08
41,2011-03-11,2011-03-14,2011-11-04,2011-11-07
42,2012-03-09,2012-03-12,2012-11-02,2012-11-05
43,2013-03-08,2013-03-11,2013-11-01,2013-11-04
44,2014-03-07,2014-03-10,2014-10-31,2014-11-03
45,2015-03-06,2015-03-09,2015-10-30,2015-11-02
46,2016-03-11,2016-03-14,2016-11-04,2016-11-07
47,2017-03-10,2017-03-13,2017-11-03,2017-11-06
48,2018-03-09,2018-03-12,2018-11-02,2018-11-05
49,2019-03-08,2019-03-11,2019-11-01,2019-11-04
50,2020-03-06,2020-03-09,2020-10-30,2020-11-02
51,2021-03-12,2021-03-15,2021-11-05,2021-11-08
52,2022-03-11,2022-03-14,2022-11-04,2022-11-07
53,2023-03-10,2023-03-13,2023-11-03,2023-11-06
54,2024-03-08,2024-03-11,2024-11-01,2024-11-04
